(0,4)
(0,26)
(1,2)
(1,4)
(2,1)
(2,3)
(3,2)
(3,5)
(3,6)
(4,0)
(4,1)
(4,5)
(4,22)
(4,28)
(5,3)
(5,4)
(5,6)
(5,21)
(5,23)
(6,3)
(6,5)
(6,21)
(7,8)
(8,7)
(8,9)
(8,10)
(8,11)
(8,21)
(9,8)
(10,8)
(10,13)
(10,14)
(11,8)
(11,12)
(11,16)
(11,20)
(11,22)
(12,11)
(12,14)
(12,15)
(12,16)
(13,10)
(13,99)
(14,10)
(14,12)
(14,15)
(14,99)
(15,12)
(15,14)
(15,16)
(15,17)
(15,82)
(16,11)
(16,12)
(16,15)
(16,17)
(16,18)
(17,15)
(17,16)
(17,18)
(17,81)
(18,16)
(18,17)
(18,27)
(19,20)
(19,35)
(20,11)
(20,19)
(20,21)
(20,23)
(21,5)
(21,6)
(21,8)
(21,20)
(21,22)
(21,25)
(22,4)
(22,11)
(22,21)
(22,23)
(22,24)
(23,5)
(23,20)
(23,22)
(23,29)
(23,35)
(24,22)
(24,26)
(25,21)
(25,27)
(26,0)
(26,24)
(27,18)
(27,25)
(28,4)
(28,30)
(29,23)
(29,30)
(29,31)
(29,51)
(30,28)
(30,29)
(30,52)
(31,29)
(31,32)
(31,51)
(32,31)
(32,46)
(33,35)
(33,38)
(33,52)
(34,36)
(34,50)
(34,51)
(35,19)
(35,23)
(35,33)
(35,37)
(35,47)
(36,34)
(36,40)
(36,44)
(36,50)
(37,35)
(37,38)
(37,39)
(38,33)
(38,37)
(38,39)
(38,40)
(39,37)
(39,38)
(39,42)
(40,36)
(40,38)
(40,41)
(40,42)
(40,43)
(41,40)
(41,53)
(41,73)
(41,82)
(42,39)
(42,40)
(42,44)
(43,40)
(43,44)
(43,63)
(44,36)
(44,42)
(44,43)
(44,45)
(44,46)
(44,47)
(45,44)
(46,32)
(46,44)
(47,35)
(47,44)
(47,48)
(48,47)
(48,51)
(49,50)
(50,34)
(50,36)
(50,49)
(51,29)
(51,31)
(51,34)
(51,48)
(52,30)
(52,33)
(53,41)
(53,54)
(53,56)
(54,53)
(54,55)
(54,62)
(54,63)
(55,54)
(55,58)
(55,65)
(56,53)
(56,57)
(56,58)
(56,61)
(57,56)
(57,58)
(57,59)
(57,61)
(57,66)
(57,69)
(58,55)
(58,56)
(58,57)
(58,59)
(58,60)
(58,66)
(59,57)
(59,58)
(59,69)
(59,70)
(60,58)
(60,65)
(60,66)
(60,67)
(60,87)
(61,56)
(61,57)
(61,62)
(61,67)
(62,54)
(62,61)
(62,63)
(62,64)
(62,65)
(62,72)
(63,43)
(63,54)
(63,62)
(63,64)
(64,62)
(64,63)
(64,73)
(64,81)
(65,55)
(65,60)
(65,62)
(65,67)
(65,71)
(65,72)
(65,74)
(66,57)
(66,58)
(66,60)
(66,67)
(66,70)
(67,60)
(67,61)
(67,65)
(67,66)
(67,71)
(67,74)
(67,75)
(68,69)
(68,74)
(69,57)
(69,59)
(69,68)
(69,76)
(69,77)
(70,59)
(70,66)
(70,71)
(70,75)
(70,77)
(71,65)
(71,67)
(71,70)
(71,72)
(71,78)
(71,80)
(71,86)
(72,62)
(72,65)
(72,71)
(72,73)
(72,80)
(73,41)
(73,64)
(73,72)
(73,80)
(73,81)
(73,83)
(74,65)
(74,67)
(74,68)
(74,78)
(74,80)
(74,87)
(75,67)
(75,70)
(75,76)
(75,79)
(76,69)
(76,75)
(76,77)
(76,78)
(76,87)
(76,89)
(77,69)
(77,70)
(77,76)
(77,94)
(78,71)
(78,74)
(78,76)
(78,79)
(78,84)
(78,86)
(78,90)
(79,75)
(79,78)
(79,80)
(79,85)
(80,71)
(80,72)
(80,73)
(80,74)
(80,79)
(80,84)
(80,85)
(81,17)
(81,64)
(81,73)
(81,83)
(82,15)
(82,41)
(82,83)
(82,92)
(83,73)
(83,81)
(83,82)
(83,84)
(83,92)
(84,78)
(84,80)
(84,83)
(84,91)
(84,93)
(85,79)
(85,80)
(85,90)
(85,93)
(85,96)
(86,71)
(86,78)
(86,87)
(86,88)
(86,93)
(87,60)
(87,74)
(87,76)
(87,86)
(87,88)
(88,86)
(88,87)
(88,89)
(88,90)
(89,76)
(89,88)
(89,90)
(90,78)
(90,85)
(90,88)
(90,89)
(90,91)
(90,93)
(90,94)
(90,96)
(91,84)
(91,90)
(91,92)
(91,93)
(92,82)
(92,83)
(92,91)
(92,99)
(93,84)
(93,85)
(93,86)
(93,90)
(93,91)
(93,95)
(93,97)
(93,98)
(93,99)
(94,77)
(94,90)
(94,95)
(95,93)
(95,94)
(95,96)
(95,97)
(96,85)
(96,90)
(96,95)
(97,93)
(97,95)
(97,98)
(98,93)
(98,97)
(98,99)
(99,13)
(99,14)
(99,92)
(99,93)
(99,98)
